Var1	Freq
a	385
b	87
c	231
d	188
e	686
f	101
g	109
h	167
i	319
j	10
k	50
l	254
m	125
n	306
o	373
p	170
q	10
r	395
s	305
t	400
u	189
v	58
w	90
x	17
y	96
z	3
